U0,U1,err_U1,U2,err_U2
480,5.810322580645161,0.0053400574882473,0.013290322580645131,0.0038562811143362605
481,5.8027741935483865,0.0047481183912293,0.009999999999999601,0.0012131287171507602
482,5.804129032258064,0.0057705274476923,0.01212903225806441,0.00171824526619206
483,5.799290322580645,0.0042817880037921,0.00935483870967703,0.00114838117920525
484,5.797354838709677,0.0055258740710384,0.01180645161290289,0.0014850154443823101
485,5.791935483870968,0.0044776409421294,0.013548387096773971,0.00239276589599008
486,5.788451612903225,0.005007662586079,0.01232258064516104,0.00162193652085472
487,5.789999999999999,0.0034340301424076,0.01180645161290289,0.0009012015311276301
488,5.785161290322581,0.0052897123879379,0.012645161290322561,0.00130940465512792
489,5.77316129032258,0.0042038562735477,0.01432258064516096,0.00207354837890312
490,5.763870967741935,0.0045851955627032,0.01238709677419325,0.0009460370448187
491,5.7627096774193545,0.0046121274385975,0.01741935483870939,0.0028182276223812997
492,5.7621290322580645,0.0045272223388491,0.01277419354838698,0.00190219340227057
493,5.764451612903225,0.0057309775534799,0.01270967741935477,0.0016954768167242401
494,5.751677419354839,0.0046564215069056,0.01503225806451574,0.0011497118646795498
495,5.751483870967742,0.0039047897018786,0.014645161290322482,0.00105170134968909
496,5.744516129032258,0.0050380277857019,0.0176774193548387,0.0024786287370706
497,5.73658064516129,0.0044091630315937,0.015741935483870522,0.0013752189827531502
498,5.734451612903226,0.0056945101545537,0.021419354838709232,0.00314953949921302
499,5.741419354838709,0.0077371940714732,0.018903225806451162,0.0017144095887059003
500,5.719161290322581,0.0041335249586969,0.02187096774193517,0.00290474687679117
501,5.71141935483871,0.0055828575415011,0.021419354838709232,0.00293307745594412
502,5.702129032258064,0.0048311197879552,0.022516129032257737,0.0033895129160993395
503,5.706774193548386,0.0055109119155745,0.0203870967741934,0.0026302668377543802
504,5.689935483870968,0.0038902744339822,0.02064516129032224,0.0017119055871894298
505,5.686451612903226,0.0041382385844504,0.02399999999999998,0.0029437736077679803
506,5.667677419354838,0.0037568091040947,0.023419354838709622,0.00217677434183796
507,5.664193548387097,0.0065035761214778,0.028387096774193078,0.0031512112437377003
508,5.652193548387096,0.0056150820950835,0.026838709677419102,0.00276411660961847
509,5.653548387096774,0.0074909956778676,0.025677419354838377,0.0015310639468832299
510,5.6413548387096775,0.0058157266277638,0.02554838709677396,0.00088325519267894
511,5.627225806451612,0.0056207296007237,0.02670967741935468,0.0023999263794122505
512,5.616,0.0069479640303169,0.03045161290322568,0.00241249411253595
513,5.6086451612903225,0.0055241444138456,0.02987096774193532,0.0024932706901399904
514,5.588709677419355,0.0058080971993364,0.031161290322580464,0.00309903636926994
515,5.573032258064516,0.0033138222893814,0.03670967741935475,0.00400565549776621
516,5.555032258064516,0.0045976004939744,0.02793548387096761,0.0007744678030798001
517,5.537419354838709,0.0037709258148348,0.03380645161290295,0.00313261029417889
518,5.519032258064516,0.0045538255553918,0.03664516129032254,0.0030992419397311397
519,5.510903225806452,0.0053843267487753,0.033677419354838534,0.00246129545632421
520,5.4801290322580645,0.0043458542387587,0.03303225806451596,0.00163723581167061
521,5.469483870967741,0.0062300398000231,0.03638709677419323,0.00212389909247288
522,5.436193548387096,0.0042638957020305,0.03716129032258022,0.0010836452318301
523,5.419548387096774,0.0049883893309333,0.03774193548387059,0.0017150040613758601
524,5.39516129032258,0.0052114498133559,0.03767741935483838,0.0012414715753347701
525,5.364193548387096,0.0061532386408113,0.04258064516129009,0.0025054888883071003
526,5.34,0.0039200313950482,0.04090322580645122,0.00190103197557259
527,5.301870967741936,0.0058654670423633,0.03903225806451572,0.00132363194620646
528,5.257548387096774,0.0046844944334482,0.04174193548387089,0.00094626149547177
529,5.21458064516129,0.0062464005647484,0.04361290322580639,0.00131070148089418
530,5.157870967741935,0.0040682762631719,0.04735483870967739,0.0024444648227056
531,5.099806451612903,0.0046636400063349,0.048193548387096594,0.00236313435947524
532,5.013677419354838,0.0041552001609222,0.0472258064516125,0.0010895864852442701
533,4.898129032258065,0.0035625309113761,0.050645161290322455,0.0023878795222173404
534,4.626967741935483,0.0044809691236607,0.046774193548387036,0.0014609094455432703
535,4.274129032258064,0.006685357504974,0.04851612903225764,0.0028346970263129698
536,3.9021290322580646,0.0058280703533336,0.05206451612903201,0.0026807604652101997
537,3.553548387096774,0.0052752398235038,0.0472258064516125,0.00096118030042248
538,3.209419354838709,0.0053811310705522,0.050516129032258036,0.00255685213352659
539,2.901870967741935,0.0057002130863465,0.048709677419354745,0.0013954842331543001
540,2.609612903225806,0.0047378023394914,0.05148387096774165,0.0021277351565725804
541,2.3336129032258066,0.006823445521078,0.0482580645161288,0.0029188519565850096
542,2.0727096774193545,0.0053378379682494,0.05432258064516124,0.00277778905663306
543,1.8288387096774192,0.007148895916182,0.05025806451612872,0.00116978097159327
544,1.5905806451612905,0.0063939755884032,0.05154838709677386,0.00288449815195803
545,1.3722580645161289,0.0042024011484527,0.05832258064516108,0.00408643265085517
546,1.1800645161290322,0.0047281105990783,0.05483870967741892,0.0028541682151521698
547,0.9965806451612904,0.00524974401951,0.05380645161290309,0.00191660753474083
548,0.8430967741935483,0.0072347353842254,0.05225806451612865,0.00271850344769605
549,0.7023870967741935,0.0037920527475806,0.04896774193548358,0.00083810176986598
550,0.5858709677419355,0.004312034534553,0.05412903225806415,0.0018782180013351302
551,0.4871612903225806,0.0061181011978551,0.05174193548387096,0.0011801554508759902
